feature,source_table,feature_family,timing_type,transformation,leakage_risk,expected_impute_method,note
sessions_source_paid_search_lag_1d,unknown,source_lag,lagged,sessions_source_paid_search_lag_1d,low,fill_0,Generated candidate feature: sessions_source_paid_search_lag_1d
sessions_source_paid_search_lag_7d,unknown,source_lag,lagged,sessions_source_paid_search_lag_7d,low,fill_0,Generated candidate feature: sessions_source_paid_search_lag_7d
sessions_source_paid_search_lag_14d,unknown,source_lag,lagged,sessions_source_paid_search_lag_14d,low,fill_0,Generated candidate feature: sessions_source_paid_search_lag_14d
sessions_source_paid_search_lag_28d,unknown,source_lag,lagged,sessions_source_paid_search_lag_28d,low,fill_0,Generated candidate feature: sessions_source_paid_search_lag_28d
sessions_source_paid_search_lag_365d,unknown,source_lag,lagged,sessions_source_paid_search_lag_365d,low,fill_0,Generated candidate feature: sessions_source_paid_search_lag_365d
sessions_source_paid_search_rolling_7d_mean,unknown,source_lag,lagged,sessions_source_paid_search_rolling_7d_mean,low,fill_0,Generated candidate feature: sessions_source_paid_search_rolling_7d_mean
sessions_source_paid_search_rolling_28d_mean,unknown,source_lag,lagged,sessions_source_paid_search_rolling_28d_mean,low,fill_0,Generated candidate feature: sessions_source_paid_search_rolling_28d_mean
sessions_source_paid_search_rolling_90d_mean,unknown,source_lag,lagged,sessions_source_paid_search_rolling_90d_mean,low,fill_0,Generated candidate feature: sessions_source_paid_search_rolling_90d_mean
sessions_source_referral_lag_1d,unknown,source_lag,lagged,sessions_source_referral_lag_1d,low,fill_0,Generated candidate feature: sessions_source_referral_lag_1d
sessions_source_referral_lag_7d,unknown,source_lag,lagged,sessions_source_referral_lag_7d,low,fill_0,Generated candidate feature: sessions_source_referral_lag_7d
sessions_source_referral_lag_14d,unknown,source_lag,lagged,sessions_source_referral_lag_14d,low,fill_0,Generated candidate feature: sessions_source_referral_lag_14d
sessions_source_referral_lag_28d,unknown,source_lag,lagged,sessions_source_referral_lag_28d,low,fill_0,Generated candidate feature: sessions_source_referral_lag_28d
sessions_source_referral_lag_365d,unknown,source_lag,lagged,sessions_source_referral_lag_365d,low,fill_0,Generated candidate feature: sessions_source_referral_lag_365d
sessions_source_referral_rolling_7d_mean,unknown,source_lag,lagged,sessions_source_referral_rolling_7d_mean,low,fill_0,Generated candidate feature: sessions_source_referral_rolling_7d_mean
sessions_source_referral_rolling_28d_mean,unknown,source_lag,lagged,sessions_source_referral_rolling_28d_mean,low,fill_0,Generated candidate feature: sessions_source_referral_rolling_28d_mean
sessions_source_referral_rolling_90d_mean,unknown,source_lag,lagged,sessions_source_referral_rolling_90d_mean,low,fill_0,Generated candidate feature: sessions_source_referral_rolling_90d_mean
sessions_source_social_media_lag_1d,unknown,source_lag,lagged,sessions_source_social_media_lag_1d,low,fill_0,Generated candidate feature: sessions_source_social_media_lag_1d
sessions_source_social_media_lag_7d,unknown,source_lag,lagged,sessions_source_social_media_lag_7d,low,fill_0,Generated candidate feature: sessions_source_social_media_lag_7d
sessions_source_social_media_lag_14d,unknown,source_lag,lagged,sessions_source_social_media_lag_14d,low,fill_0,Generated candidate feature: sessions_source_social_media_lag_14d
sessions_source_social_media_lag_28d,unknown,source_lag,lagged,sessions_source_social_media_lag_28d,low,fill_0,Generated candidate feature: sessions_source_social_media_lag_28d
sessions_source_social_media_lag_365d,unknown,source_lag,lagged,sessions_source_social_media_lag_365d,low,fill_0,Generated candidate feature: sessions_source_social_media_lag_365d
sessions_source_social_media_rolling_7d_mean,unknown,source_lag,lagged,sessions_source_social_media_rolling_7d_mean,low,fill_0,Generated candidate feature: sessions_source_social_media_rolling_7d_mean
sessions_source_social_media_rolling_28d_mean,unknown,source_lag,lagged,sessions_source_social_media_rolling_28d_mean,low,fill_0,Generated candidate feature: sessions_source_social_media_rolling_28d_mean
sessions_source_social_media_rolling_90d_mean,unknown,source_lag,lagged,sessions_source_social_media_rolling_90d_mean,low,fill_0,Generated candidate feature: sessions_source_social_media_rolling_90d_mean
order_count_lag_1d,order,source_lag,lagged,order_count_lag_1d,low,fill_0,Generated candidate feature: order_count_lag_1d
order_count_lag_7d,order,source_lag,lagged,order_count_lag_7d,low,fill_0,Generated candidate feature: order_count_lag_7d
order_count_lag_14d,order,source_lag,lagged,order_count_lag_14d,low,fill_0,Generated candidate feature: order_count_lag_14d
order_count_lag_28d,order,source_lag,lagged,order_count_lag_28d,low,fill_0,Generated candidate feature: order_count_lag_28d
order_count_lag_365d,order,source_lag,lagged,order_count_lag_365d,low,fill_0,Generated candidate feature: order_count_lag_365d
order_count_rolling_7d_mean,order,source_lag,lagged,order_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_count_rolling_7d_mean
order_count_rolling_28d_mean,order,source_lag,lagged,order_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_count_rolling_28d_mean
order_count_rolling_90d_mean,order,source_lag,lagged,order_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_count_rolling_90d_mean
customer_count_lag_1d,customer,source_lag,lagged,customer_count_lag_1d,low,fill_0,Generated candidate feature: customer_count_lag_1d
customer_count_lag_7d,customer,source_lag,lagged,customer_count_lag_7d,low,fill_0,Generated candidate feature: customer_count_lag_7d
customer_count_lag_14d,customer,source_lag,lagged,customer_count_lag_14d,low,fill_0,Generated candidate feature: customer_count_lag_14d
customer_count_lag_28d,customer,source_lag,lagged,customer_count_lag_28d,low,fill_0,Generated candidate feature: customer_count_lag_28d
customer_count_lag_365d,customer,source_lag,lagged,customer_count_lag_365d,low,fill_0,Generated candidate feature: customer_count_lag_365d
customer_count_rolling_7d_mean,customer,source_lag,lagged,customer_count_rolling_7d_mean,low,fill_0,Generated candidate feature: customer_count_rolling_7d_mean
customer_count_rolling_28d_mean,customer,source_lag,lagged,customer_count_rolling_28d_mean,low,fill_0,Generated candidate feature: customer_count_rolling_28d_mean
customer_count_rolling_90d_mean,customer,source_lag,lagged,customer_count_rolling_90d_mean,low,fill_0,Generated candidate feature: customer_count_rolling_90d_mean
order_source_count_lag_1d,order,source_lag,lagged,order_source_count_lag_1d,low,fill_0,Generated candidate feature: order_source_count_lag_1d
order_source_count_lag_7d,order,source_lag,lagged,order_source_count_lag_7d,low,fill_0,Generated candidate feature: order_source_count_lag_7d
order_source_count_lag_14d,order,source_lag,lagged,order_source_count_lag_14d,low,fill_0,Generated candidate feature: order_source_count_lag_14d
order_source_count_lag_28d,order,source_lag,lagged,order_source_count_lag_28d,low,fill_0,Generated candidate feature: order_source_count_lag_28d
order_source_count_lag_365d,order,source_lag,lagged,order_source_count_lag_365d,low,fill_0,Generated candidate feature: order_source_count_lag_365d
order_source_count_rolling_7d_mean,order,source_lag,lagged,order_source_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_source_count_rolling_7d_mean
order_source_count_rolling_28d_mean,order,source_lag,lagged,order_source_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_source_count_rolling_28d_mean
order_source_count_rolling_90d_mean,order,source_lag,lagged,order_source_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_source_count_rolling_90d_mean
order_status_cancelled_count_lag_1d,order,source_lag,lagged,order_status_cancelled_count_lag_1d,low,fill_0,Generated candidate feature: order_status_cancelled_count_lag_1d
order_status_cancelled_count_lag_7d,order,source_lag,lagged,order_status_cancelled_count_lag_7d,low,fill_0,Generated candidate feature: order_status_cancelled_count_lag_7d
order_status_cancelled_count_lag_14d,order,source_lag,lagged,order_status_cancelled_count_lag_14d,low,fill_0,Generated candidate feature: order_status_cancelled_count_lag_14d
order_status_cancelled_count_lag_28d,order,source_lag,lagged,order_status_cancelled_count_lag_28d,low,fill_0,Generated candidate feature: order_status_cancelled_count_lag_28d
order_status_cancelled_count_lag_365d,order,source_lag,lagged,order_status_cancelled_count_lag_365d,low,fill_0,Generated candidate feature: order_status_cancelled_count_lag_365d
order_status_cancelled_count_rolling_7d_mean,order,source_lag,lagged,order_status_cancelled_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_status_cancelled_count_rolling_7d_mean
order_status_cancelled_count_rolling_28d_mean,order,source_lag,lagged,order_status_cancelled_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_status_cancelled_count_rolling_28d_mean
order_status_cancelled_count_rolling_90d_mean,order,source_lag,lagged,order_status_cancelled_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_status_cancelled_count_rolling_90d_mean
order_status_created_count_lag_1d,order,source_lag,lagged,order_status_created_count_lag_1d,low,fill_0,Generated candidate feature: order_status_created_count_lag_1d
order_status_created_count_lag_7d,order,source_lag,lagged,order_status_created_count_lag_7d,low,fill_0,Generated candidate feature: order_status_created_count_lag_7d
order_status_created_count_lag_14d,order,source_lag,lagged,order_status_created_count_lag_14d,low,fill_0,Generated candidate feature: order_status_created_count_lag_14d
order_status_created_count_lag_28d,order,source_lag,lagged,order_status_created_count_lag_28d,low,fill_0,Generated candidate feature: order_status_created_count_lag_28d
order_status_created_count_lag_365d,order,source_lag,lagged,order_status_created_count_lag_365d,low,fill_0,Generated candidate feature: order_status_created_count_lag_365d
order_status_created_count_rolling_7d_mean,order,source_lag,lagged,order_status_created_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_status_created_count_rolling_7d_mean
order_status_created_count_rolling_28d_mean,order,source_lag,lagged,order_status_created_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_status_created_count_rolling_28d_mean
order_status_created_count_rolling_90d_mean,order,source_lag,lagged,order_status_created_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_status_created_count_rolling_90d_mean
order_status_delivered_count_lag_1d,order,source_lag,lagged,order_status_delivered_count_lag_1d,low,fill_0,Generated candidate feature: order_status_delivered_count_lag_1d
order_status_delivered_count_lag_7d,order,source_lag,lagged,order_status_delivered_count_lag_7d,low,fill_0,Generated candidate feature: order_status_delivered_count_lag_7d
order_status_delivered_count_lag_14d,order,source_lag,lagged,order_status_delivered_count_lag_14d,low,fill_0,Generated candidate feature: order_status_delivered_count_lag_14d
order_status_delivered_count_lag_28d,order,source_lag,lagged,order_status_delivered_count_lag_28d,low,fill_0,Generated candidate feature: order_status_delivered_count_lag_28d
order_status_delivered_count_lag_365d,order,source_lag,lagged,order_status_delivered_count_lag_365d,low,fill_0,Generated candidate feature: order_status_delivered_count_lag_365d
order_status_delivered_count_rolling_7d_mean,order,source_lag,lagged,order_status_delivered_count_rolling_7d_mean,low,fill_0,Generated candidate feature: order_status_delivered_count_rolling_7d_mean
order_status_delivered_count_rolling_28d_mean,order,source_lag,lagged,order_status_delivered_count_rolling_28d_mean,low,fill_0,Generated candidate feature: order_status_delivered_count_rolling_28d_mean
order_status_delivered_count_rolling_90d_mean,order,source_lag,lagged,order_status_delivered_count_rolling_90d_mean,low,fill_0,Generated candidate feature: order_status_delivered_count_rolling_90d_mean
order_status_paid_count_lag_1d,order,source_lag,lagged,order_status_paid_count_lag_1d,low,fill_0,Generated candidate feature: order_status_paid_count_lag_1d
order_status_paid_count_lag_7d,order,source_lag,lagged,order_status_paid_count_lag_7d,low,fill_0,Generated candidate feature: order_status_paid_count_lag_7d
order_status_paid_count_lag_14d,order,source_lag,lagged,order_status_paid_count_lag_14d,low,fill_0,Generated candidate feature: order_status_paid_count_lag_14d
